BS0-1,11750000
BS0-2,11750000
BS0-3,11750000
HE0-1,82650000
HE0-2,82650000
HE0-3,82650000
BSN1-1,649000000
BSN1-2,702000000
BSN1-3,585000000
BS1-1,369000000
BS1-2,447000000
BS1-3,555000000
SSN1-1,645000000
SSN1-2,548000000
SSN1-3,854000000
SS1-1,437000000
SS1-2,438000000
SS1-3,391000000
HEN1-1,561000000
HEN1-2,511000000
HEN1-3,639000000
HE1-1,279000000
HE1-2,297000000
HE1-3,310000000
BSN2-1,1111000000
BSN2-2,1083000000
BSN2-3,974000000
BS2-1,383000000
BS2-2,433000000
BS2-3,403000000
SSN2-1,746000000
SSN2-2,679000000
SSN2-3,666000000
SS2-1,534000000
SS2-2,488000000
SS2-3,513000000
HEN2-1,618000000
HEN2-2,625000000
HEN2-3,617000000
HE2-1,448000000
HE2-2,489000000
HE2-3,520000000
